Date,^NSEI Open,^NSEI High,^NSEI Low,^NSEI Close,^NSEI Adj Close,BAJFINANCE.NS Open,BAJFINANCE.NS High,BAJFINANCE.NS Low,BAJFINANCE.NS Close,BAJFINANCE.NS Adj Close,HDFCBANK.NS Open,HDFCBANK.NS High,HDFCBANK.NS Low,HDFCBANK.NS Close,HDFCBANK.NS Adj Close,INFY.NS Open,INFY.NS High,INFY.NS Low,INFY.NS Close,INFY.NS Adj Close,NESTLEIND.NS Open,NESTLEIND.NS High,NESTLEIND.NS Low,NESTLEIND.NS Close,NESTLEIND.NS Adj Close
07/05/2021,14816.84961,14863.04981,14765.5,14823.15039,14823.15039,5590,5613.149902,5458,5493.799805,5484.937012,1412.949951,1424.949951,1410.25,1414.75,1408.65332,1365.300049,1373.050049,1348.5,1352.550049,1326.355835,16788.55078,16798.09961,16665,16761.34961,16662.73438
10/05/2021,14928.25,14966.90039,14892.5,14942.34961,14942.34961,5575,5575,5445,5497.5,5488.631348,1427,1430,1412.800049,1419.849976,1413.731323,1349.849976,1352.900024,1335.050049,1339.550049,1313.607544,16830,16850,16670,16787.30078,16688.5332
11/05/2021,14789.7002,14900,14771.40039,14850.75,14850.75,5411.25,5458.100098,5390,5424.700195,5415.94873,1396,1424.199951,1395.050049,1403.550049,1397.501709,1336.900024,1341,1325.099976,1330.650024,1304.880005,16749,16949,16710.34961,16870.09961,16770.84375
12/05/2021,14823.54981,14824.04981,14649.7002,14696.5,14696.5,5413.100098,5440,5329.399902,5358.399902,5349.755371,1399.75,1408.599976,1388.849976,1399.5,1393.469116,1330,1330,1314.5,1327,1301.300659,16770.25,16857.40039,16620,16717.90039,16619.54102
14/05/2021,14749.40039,14749.65039,14591.90039,14677.79981,14677.79981,5405,5405,5267,5330.350098,5321.750977,1394.349976,1398.900024,1382.349976,1386.849976,1380.873535,1326.849976,1326.849976,1311.300049,1316.400024,1290.905884,16717,17260,16605,17224.15039,17122.8125
17/05/2021,14756.25,14938,14725.34961,14923.15039,14923.15039,5350,5490,5315.049805,5430.100098,5421.339844,1395.150024,1442.599976,1381.300049,1440.25,1434.043457,1320.300049,1334.949951,1320.300049,1329.400024,1303.654175,17220,17300,17000.59961,17037.94922,16937.70703
18/05/2021,15067.2002,15137.25,15043.7002,15108.09961,15108.09961,5501,5705,5501,5688.75,5679.572754,1458.949951,1482.75,1455,1476.699951,1470.336304,1338,1344.599976,1329.5,1340,1314.048828,17120.19922,17248.94922,17042,17180.59961,17079.51758
19/05/2021,15058.59961,15133.40039,15008.84961,15030.15039,15030.15039,5674.950195,5722.899902,5595,5631.200195,5622.115723,1470.199951,1478.849976,1452.550049,1458.199951,1451.916016,1342,1357.449951,1333.25,1337,1311.106934,17187,17465,17187,17449.34961,17346.68555
20/05/2021,15042.59961,15069.79981,14884.90039,14906.04981,14906.04981,5628,5658,5545,5588.75,5579.733887,1458.349976,1465.900024,1428.5,1432.800049,1426.62561,1348.400024,1349.099976,1335,1339.300049,1313.362427,17460,17499.65039,17222,17285.34961,17183.65039
21/05/2021,14987.79981,15190,14985.84961,15175.29981,15175.29981,5660,5695,5586.299805,5631.75,5622.664551,1443,1501.900024,1443,1497.300049,1490.847656,1347.5,1357.5,1346.349976,1354.5,1328.268066,17385.34961,17550,17280.25,17497.09961,17394.1543
24/05/2021,15211.34961,15256.25,15145.4502,15197.7002,15197.7002,5634,5688,5590,5602.899902,5593.86084,1503.25,1520.449951,1498.5,1509.949951,1503.442993,1356.650024,1363,1345.099976,1348.050049,1321.942993,17400.05078,17588.05078,17300.75,17360.30078,17258.16211
25/05/2021,15291.75,15293.84961,15163.40039,15208.4502,15208.4502,5640,5658.799805,5582,5618.649902,5609.585449,1510.5,1513.75,1470.5,1478.949951,1472.57666,1358,1368,1354.449951,1361.599976,1335.230469,17497,17758.80078,17422.05078,17516.09961,17413.04297
26/05/2021,15257.04981,15319.90039,15194.9502,15301.4502,15301.4502,5640,5794.799805,5586.100098,5771.149902,5761.839355,1480,1487,1470,1477.050049,1470.684937,1367.900024,1400,1362.050049,1397.25,1370.190063,17516.09961,17617.34961,17368,17541.30078,17438.0957
27/05/2021,15323.9502,15384.54981,15272.5,15337.84961,15337.84961,5779.950195,5782.149902,5651,5682.200195,5673.033203,1473.099976,1489,1462.449951,1482.650024,1476.260742,1404.199951,1416.25,1391.699951,1402.25,1375.093262,17550,17900,17435.30078,17746.69922,17642.28711
28/05/2021,15421.2002,15469.65039,15394.75,15435.65039,15435.65039,5724,5750,5592.100098,5610.75,5601.698242,1490.900024,1513,1478.75,1503.449951,1496.971069,1409.75,1414,1396.099976,1405.050049,1377.839111,17770,17814.34961,17500,17509.40039,17406.38281
31/05/2021,15437.75,15606.34961,15374,15582.79981,15582.79981,5620,5664.700195,5560,5627.950195,5618.871094,1500,1519.5,1487.5,1515.849976,1509.317627,1401.5,1401.5,1383,1393.75,1381.506592,17509,17745.25,17415.25,17695.55078,17591.43945
